                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0336,                 4.2967,                 1.9876,                0.00268,                0.73345,                0.05928,                0.02704,                  1.712,                 4.5261,                  1.717,             0.00036084,             0.00036084,             0.00036084
                      2,                 1.7003,                 3.5349,                 1.7006,                0.62944,                0.07342,                0.16211,                0.06695,                 1.9469,                 3.8003,                 1.8317,             0.00070704,             0.00070704,             0.00070704
                      3,                 1.6912,                 3.2077,                 1.6692,                0.29083,                0.18575,                0.15503,                0.07492,                 2.0049,                 3.9595,                 2.0564,              0.0010288,              0.0010288,              0.0010288
                      4,                 1.6376,                 3.0258,                 1.6516,                0.20021,                0.24989,                0.16638,                0.08762,                 1.8051,                 7.9276,                 1.8963,               0.001001,               0.001001,               0.001001
                      5,                 1.6314,                 2.8746,                 1.6563,                0.35306,                 0.3853,                0.35076,                0.18583,                 1.7717,                 2.7683,                 1.8144,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.5741,                 2.7043,                 1.6168,                0.40114,                0.41791,                0.38488,                0.19135,                 1.7092,                  2.703,                 1.7575,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.5257,                 2.4998,                 1.5484,                0.43413,                0.35065,                0.42401,                0.22504,                 1.6679,                 2.2095,                 1.6829,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.5269,                 2.4352,                 1.5473,                0.41503,                0.41763,                0.39655,                0.21055,                 1.6746,                 2.4152,                 1.7029,             0.00085436,             0.00085436,             0.00085436
                      9,                 1.4941,                 2.3134,                 1.5203,                0.50061,                 0.4295,                0.45908,                0.24399,                 1.6621,                 2.1872,                 1.6294,              0.0008177,              0.0008177,              0.0008177
                     10,                 1.3977,                 2.1178,                 1.4654,                0.44299,                 0.6076,                0.51878,                0.26452,                 1.6992,                 2.1899,                 1.6833,             0.00078103,             0.00078103,             0.00078103
                     11,                 1.4394,                 2.0349,                   1.46,                 0.5537,                0.52359,                0.55566,                0.29089,                 1.6186,                 2.1034,                 1.5959,             0.00074437,             0.00074437,             0.00074437
                     12,                 1.3713,                 1.9619,                 1.4103,                0.46047,                0.57974,                0.61422,                0.34923,                 1.6167,                 1.8152,                  1.601,             0.00070771,             0.00070771,             0.00070771
                     13,                 1.3345,                 1.8537,                 1.4025,                0.79221,                0.41858,                0.54233,                0.28031,                  1.678,                 1.8022,                 1.6703,             0.00067104,             0.00067104,             0.00067104
                     14,                 1.3282,                 1.7731,                 1.3833,                0.58165,                0.46958,                0.56205,                0.31387,                 1.5806,                 1.7614,                 1.5644,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.3082,                 1.7241,                 1.3918,                0.51985,                0.59509,                0.56822,                0.34375,                  1.509,                 1.6757,                 1.4704,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.2778,                 1.6696,                 1.3654,                0.62811,                0.55167,                 0.6197,                0.36363,                 1.5723,                 1.7021,                  1.526,             0.00056105,             0.00056105,             0.00056105
                     17,                 1.2511,                  1.615,                 1.3284,                0.67915,                0.53551,                0.65122,                0.39748,                 1.4592,                 1.5415,                  1.463,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.1974,                 1.5174,                 1.2964,                0.82656,                0.57597,                0.69909,                0.41582,                 1.5713,                 1.4864,                 1.5467,             0.00048773,             0.00048773,             0.00048773
                     19,                  1.193,                 1.4593,                 1.3136,                 0.7603,                 0.6147,                0.72766,                0.43903,                 1.6021,                 1.3326,                 1.5759,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.1956,                 1.4193,                 1.2774,                0.66193,                0.69873,                0.72252,                0.43874,                 1.5066,                 1.3702,                 1.4811,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.0874,                 1.2768,                 1.2666,                0.76127,                0.59155,                0.70489,                0.43496,                 1.5615,                 1.3553,                 1.5646,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.0304,                 1.1679,                 1.2335,                0.70421,                0.65806,                0.72939,                 0.4452,                 1.5476,                 1.2775,                 1.5326,             0.00034108,             0.00034108,             0.00034108
                     23,                 1.0143,                 1.1392,                  1.221,                0.63148,                  0.708,                0.72396,                0.44898,                 1.4954,                 1.2912,                 1.4582,             0.00030441,             0.00030441,             0.00030441
                     24,                0.98713,                  1.045,                  1.213,                0.76382,                0.70254,                0.74263,                0.44378,                 1.4971,                 1.2712,                 1.4816,             0.00026775,             0.00026775,             0.00026775
                     25,                0.94091,                0.96296,                  1.196,                0.75332,                0.76109,                0.77162,                0.48862,                  1.439,                 1.2037,                 1.4576,             0.00023109,             0.00023109,             0.00023109
                     26,                0.92518,                0.96809,                 1.1715,                0.82511,                0.75675,                0.78502,                0.48546,                 1.4275,                 1.1431,                 1.4125,             0.00019442,             0.00019442,             0.00019442
                     27,                0.87409,                0.88489,                 1.1286,                0.78334,                0.73293,                0.76905,                0.46314,                 1.4738,                 1.2487,                 1.4572,             0.00015776,             0.00015776,             0.00015776
                     28,                0.86765,                0.84685,                 1.1121,                0.77061,                0.73946,                0.78347,                0.48567,                 1.4333,                 1.2011,                 1.4399,              0.0001211,              0.0001211,              0.0001211
                     29,                0.85529,                0.83321,                 1.1201,                0.82381,                0.73722,                0.79762,                0.48675,                  1.441,                 1.1827,                 1.4343,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                0.81963,                0.81561,                 1.0883,                0.81039,                 0.7688,                0.82572,                0.51202,                 1.4293,                 1.1233,                 1.4285,             4.7773e-05,             4.7773e-05,             4.7773e-05
