                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8133,                 9.9856,                 2.6234,                      0,                      0,                      0,                      0,                 3.0492,                  8.705,                 2.7008,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.5704,                 5.9929,                 2.5311,                0.50341,                 0.2944,                0.13286,                0.03687,                 2.3267,                 10.361,                 2.9305,             0.00013966,             0.00013966,             0.00013966
                      3,                 2.0847,                 4.5848,                 2.1014,                 0.4103,                 0.3081,                0.26704,                0.10258,                 1.9836,                 4.1451,                 2.7413,             0.00020753,             0.00020753,             0.00020753
                      4,                 1.5641,                 3.5105,                 1.7833,                0.72582,                0.34534,                 0.3403,                0.14731,                 1.7205,                 3.0935,                 2.3359,             0.00027027,             0.00027027,             0.00027027
                      5,                 1.6398,                 2.9485,                 1.7412,                0.33664,                0.47458,                0.33226,                0.15953,                 1.6514,                 2.9513,                 2.1484,             0.00032788,             0.00032788,             0.00032788
                      6,                 1.5259,                  2.653,                  1.749,                0.42977,                0.67694,                0.50883,                0.27514,                  1.738,                 2.5162,                 2.2243,             0.00038035,             0.00038035,             0.00038035
                      7,                 1.5669,                 2.7884,                  1.821,                0.52024,                0.56366,                0.53336,                0.25582,                 1.7053,                 2.5281,                 1.8949,             0.00042769,             0.00042769,             0.00042769
                      8,                 1.5326,                 2.4484,                 1.5602,                0.42092,                0.63358,                0.44991,                0.21195,                 1.6909,                 2.3827,                 1.8112,              0.0004699,              0.0004699,              0.0004699
                      9,                 1.5039,                 2.1913,                 1.5753,                0.31552,                0.80694,                0.54054,                0.21294,                 1.9686,                 5.1482,                 2.0763,             0.00050697,             0.00050697,             0.00050697
                     10,                 1.5869,                 2.2642,                 1.7346,                0.34927,                0.71944,                0.36618,                0.17172,                 1.8884,                 3.4551,                 1.8993,             0.00053891,             0.00053891,             0.00053891
